epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.583,0.42941,0.66293,1.41481,0.98398,0.67252,0.54002,0.64189,0.54177,0.6694,0.53775,0.63649,0.59057,0.53226,0.57024,1.16762,1.13875,0.000369875,0.000369875,0.000369875
2,411.122,0.48054,0.65019,1.08838,1.00197,0.65732,0.76116,0.788,0.6872,0.65535,0.76663,0.7896,0.74927,0.4549,0.504,0.92998,1.06123,0.000725552,0.000725552,0.000725552
3,564.647,0.45214,0.61015,1.02489,0.98518,0.50466,0.67766,0.63593,0.54386,0.50615,0.67417,0.63344,0.59707,0.53996,0.62007,1.23881,1.1578,0.00106656,0.00106656,0.00106656
4,716.858,0.42595,0.58211,0.99282,0.97217,0.57492,0.75306,0.77086,0.7123,0.57492,0.75306,0.77039,0.75253,0.3801,0.50721,1.11012,1.00731,0.00104501,0.00104501,0.00104501
5,875.378,0.39934,0.54722,0.92275,0.95765,0.70112,0.74449,0.80199,0.75463,0.70346,0.74649,0.80394,0.78168,0.3381,0.51201,0.83553,0.93772,0.00102301,0.00102301,0.00102301
6,1032.58,0.37926,0.5032,0.85615,0.95186,0.7739,0.7836,0.85074,0.80194,0.77223,0.78283,0.84757,0.82491,0.31772,0.49666,0.66814,0.93226,0.00100101,0.00100101,0.00100101
7,1189.25,0.36191,0.4839,0.80407,0.93757,0.83924,0.75068,0.86495,0.82227,0.83874,0.74908,0.86241,0.8449,0.27346,0.46971,0.66906,0.90043,0.000979013,0.000979013,0.000979013
8,1346.88,0.35131,0.46635,0.77967,0.93833,0.78028,0.80323,0.87546,0.85436,0.77821,0.80339,0.87112,0.85852,0.24282,0.49975,0.62552,0.87264,0.000957015,0.000957015,0.000957015
9,1503.7,0.3464,0.47882,0.74089,0.93647,0.81767,0.84472,0.91034,0.88217,0.81634,0.84348,0.90916,0.89587,0.25551,0.43999,0.51515,0.87749,0.000935018,0.000935018,0.000935018
10,1661.53,0.32954,0.44934,0.71021,0.9297,0.77075,0.83136,0.90093,0.87712,0.77136,0.82853,0.89848,0.88513,0.23747,0.41745,0.5875,0.87829,0.00091302,0.00091302,0.00091302
11,1817.3,0.32225,0.442,0.68807,0.92482,0.79782,0.81572,0.89137,0.87145,0.79694,0.81449,0.89013,0.87851,0.23036,0.35535,0.63558,0.863,0.000891022,0.000891022,0.000891022
12,1972.83,0.31979,0.43761,0.65327,0.926,0.82948,0.85614,0.91176,0.89206,0.82829,0.85491,0.91038,0.89992,0.226,0.37073,0.49566,0.86184,0.000869024,0.000869024,0.000869024
13,2124.6,0.30712,0.41802,0.62057,0.91775,0.85986,0.85616,0.9176,0.89793,0.86212,0.85712,0.92059,0.90573,0.22591,0.3322,0.46677,0.86061,0.000847026,0.000847026,0.000847026
14,2277.5,0.31151,0.42259,0.62001,0.91837,0.86473,0.8712,0.92334,0.90675,0.86215,0.86908,0.92054,0.91042,0.21309,0.29791,0.47325,0.84966,0.000825029,0.000825029,0.000825029
15,2434.51,0.30322,0.40596,0.59786,0.91335,0.87356,0.82542,0.90953,0.88873,0.8712,0.82295,0.9063,0.89547,0.21662,0.48553,0.52428,0.84898,0.000803031,0.000803031,0.000803031
16,2590.22,0.29709,0.40213,0.58882,0.91421,0.85559,0.86027,0.92466,0.9105,0.8543,0.85904,0.9223,0.9106,0.20397,0.45117,0.46643,0.84397,0.000781033,0.000781033,0.000781033
17,2741.25,0.28808,0.39548,0.54657,0.90773,0.90664,0.86957,0.94349,0.92854,0.90526,0.86833,0.93992,0.92917,0.19414,0.56109,0.38561,0.83694,0.000759035,0.000759035,0.000759035
18,2921.45,0.28803,0.39172,0.53832,0.90964,0.87272,0.88906,0.9305,0.91485,0.87039,0.88659,0.92775,0.91396,0.20104,0.45756,0.41522,0.84662,0.000737037,0.000737037,0.000737037
19,3091.2,0.29329,0.38447,0.53832,0.9108,0.8571,0.90199,0.92787,0.91408,0.85393,0.89876,0.92485,0.9138,0.19495,0.45945,0.41888,0.84794,0.00071504,0.00071504,0.00071504
20,3241.8,0.28523,0.38155,0.51898,0.90691,0.91594,0.87482,0.945,0.93069,0.91476,0.87359,0.94305,0.93203,0.19876,0.4513,0.38149,0.84095,0.000693042,0.000693042,0.000693042
21,3392.75,0.28123,0.38302,0.51475,0.90389,0.87475,0.90976,0.94054,0.92659,0.87475,0.90976,0.94136,0.93024,0.18966,0.45935,0.38583,0.83169,0.000671044,0.000671044,0.000671044
22,3548.46,0.28144,0.37353,0.49579,0.90707,0.88681,0.86877,0.93204,0.919,0.88478,0.86631,0.93033,0.9223,0.18724,0.53971,0.44129,0.83068,0.000649046,0.000649046,0.000649046
23,3712.2,0.27464,0.37103,0.46847,0.90337,0.91196,0.9069,0.949,0.93802,0.90952,0.90443,0.94535,0.9368,0.17659,0.35524,0.35312,0.82026,0.000627048,0.000627048,0.000627048
