epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.682,0.37693,0.70397,2.36507,0.96539,0.56371,0.68608,0.66905,0.62041,0.56371,0.68608,0.66718,0.63767,0.35041,0.55976,1.49369,1.00246,0.00332921,0.00332921,0.00332921
2,210.435,0.4083,0.56982,1.52597,0.96323,0.56205,0.70443,0.7185,0.64773,0.5613,0.70243,0.71689,0.66722,0.39397,0.61257,1.34998,1.03178,0.00659658,0.00659658,0.00659658
3,309.255,0.48065,0.6342,1.40284,0.99068,0.45065,0.35449,0.3599,0.24887,0.4621,0.29978,0.28545,0.18848,1.37707,3.5825,2.10325,2.65208,0.00979796,0.00979796,0.00979796
4,406.619,0.52173,0.67732,1.28952,1.00911,0.57727,0.70038,0.68218,0.63101,0.57678,0.6978,0.68078,0.6493,0.36116,0.59527,1.17277,0.99072,0.009703,0.009703,0.009703
5,504.574,0.48417,0.6367,1.14742,0.98849,0.62991,0.719,0.75572,0.70324,0.62487,0.7082,0.74955,0.72897,0.32404,0.60089,0.99387,0.94524,0.009604,0.009604,0.009604
6,620.664,0.45531,0.61332,1.04589,0.98316,0.74766,0.77677,0.81221,0.75948,0.74566,0.77477,0.80922,0.78051,0.30928,0.53838,0.80957,0.94001,0.009505,0.009505,0.009505
7,738.635,0.43369,0.55338,0.97608,0.96523,0.65154,0.72414,0.75608,0.71806,0.64797,0.71934,0.75222,0.73298,0.27816,0.61847,0.87224,0.90487,0.009406,0.009406,0.009406
8,857.023,0.41596,0.53896,0.92028,0.96073,0.5818,0.77107,0.73451,0.70592,0.58015,0.7691,0.73318,0.71503,0.29162,0.53886,0.906,0.91379,0.009307,0.009307,0.009307
9,966.062,0.39833,0.53318,0.881,0.95149,0.68104,0.75574,0.83173,0.79093,0.67705,0.75147,0.8268,0.80807,0.3,0.59558,0.84159,0.92514,0.009208,0.009208,0.009208
10,1064.45,0.38714,0.4967,0.83668,0.94533,0.74012,0.79139,0.83777,0.80496,0.74176,0.79546,0.83942,0.82053,0.2468,0.49685,0.73205,0.88444,0.009109,0.009109,0.009109
11,1163.41,0.37968,0.50809,0.81466,0.94647,0.84257,0.74812,0.86069,0.82819,0.83577,0.74761,0.85719,0.83249,0.26028,0.52792,0.66139,0.90133,0.00901,0.00901,0.00901
12,1275.46,0.37778,0.499,0.79402,0.94323,0.79004,0.78069,0.8616,0.83608,0.79004,0.78069,0.86075,0.84305,0.24192,0.53569,0.62191,0.86889,0.008911,0.008911,0.008911
13,1394.5,0.36731,0.47932,0.76854,0.93812,0.75829,0.81595,0.85361,0.82155,0.75747,0.81472,0.85131,0.83605,0.24358,0.43173,0.69984,0.88386,0.008812,0.008812,0.008812
14,1513.66,0.35948,0.46898,0.73827,0.93526,0.72715,0.82466,0.86063,0.83737,0.72588,0.8243,0.85705,0.84276,0.24559,0.43795,0.70564,0.87517,0.008713,0.008713,0.008713
15,1633.8,0.35317,0.4733,0.73117,0.93249,0.8364,0.76007,0.86031,0.84053,0.8381,0.75904,0.85926,0.84273,0.21849,0.46456,0.58317,0.86244,0.008614,0.008614,0.008614
16,1752.99,0.34561,0.45486,0.70786,0.92713,0.84542,0.8313,0.90492,0.88686,0.84428,0.83007,0.90346,0.88815,0.22073,0.38451,0.52118,0.85789,0.008515,0.008515,0.008515
17,1873.12,0.34368,0.47075,0.68707,0.92821,0.84654,0.84884,0.91311,0.88977,0.84492,0.84904,0.91021,0.89455,0.21754,0.46996,0.52314,0.8561,0.008416,0.008416,0.008416
18,1993.57,0.33908,0.45487,0.6686,0.92622,0.77153,0.83375,0.875,0.85181,0.76979,0.83128,0.8716,0.85986,0.22689,0.47101,0.61412,0.85607,0.008317,0.008317,0.008317
19,2112.86,0.33602,0.44468,0.65211,0.92512,0.87107,0.84729,0.91817,0.90102,0.86875,0.84482,0.91534,0.90308,0.21806,0.38106,0.47677,0.85538,0.008218,0.008218,0.008218
20,2232.28,0.32941,0.43855,0.64416,0.92388,0.82212,0.87345,0.90703,0.88326,0.81855,0.87198,0.90453,0.87953,0.21048,0.41085,0.50554,0.85351,0.008119,0.008119,0.008119
21,2351.24,0.32489,0.44302,0.62322,0.92093,0.85728,0.86425,0.9155,0.8975,0.85398,0.86101,0.91425,0.90161,0.20263,0.47155,0.50402,0.84828,0.00802,0.00802,0.00802
22,2471.13,0.31882,0.43214,0.62266,0.91685,0.88899,0.85331,0.92324,0.90172,0.88782,0.85208,0.92102,0.90764,0.20651,0.38197,0.43757,0.84967,0.007921,0.007921,0.007921
23,2591.57,0.31303,0.41671,0.60691,0.91479,0.91713,0.84337,0.93276,0.91431,0.9157,0.84214,0.93133,0.91987,0.19663,0.56806,0.41141,0.83648,0.007822,0.007822,0.007822
24,2711.31,0.31323,0.4333,0.58586,0.91836,0.83199,0.85222,0.91623,0.8982,0.8307,0.85045,0.91425,0.89971,0.19963,0.402,0.46847,0.83978,0.007723,0.007723,0.007723
25,2830.73,0.31355,0.40746,0.56736,0.91439,0.87924,0.90621,0.93472,0.91804,0.87803,0.90498,0.93429,0.92163,0.19547,0.47433,0.40532,0.84585,0.007624,0.007624,0.007624
26,2950.92,0.31449,0.41869,0.57283,0.91695,0.83267,0.88954,0.93237,0.91561,0.83158,0.88831,0.93148,0.9191,0.20975,0.53449,0.49784,0.85152,0.007525,0.007525,0.007525
27,3070.15,0.30829,0.41386,0.56181,0.91256,0.88459,0.88636,0.9423,0.92687,0.88237,0.88389,0.93936,0.92886,0.19381,0.53819,0.39598,0.8374,0.007426,0.007426,0.007426
28,3187.68,0.30713,0.41219,0.55015,0.91479,0.89108,0.86827,0.94093,0.9219,0.88873,0.8658,0.93626,0.92543,0.19245,0.35719,0.39982,0.84005,0.007327,0.007327,0.007327
29,3306.19,0.30188,0.40294,0.53974,0.90974,0.87761,0.89462,0.94344,0.92879,0.87337,0.89152,0.9402,0.92776,0.19447,0.46275,0.4104,0.83906,0.007228,0.007228,0.007228
30,3425.41,0.30318,0.40032,0.52879,0.91439,0.89365,0.88544,0.94041,0.92795,0.89365,0.88544,0.94035,0.92761,0.1844,0.45487,0.39219,0.83246,0.007129,0.007129,0.007129
31,3543.35,0.30076,0.40337,0.53283,0.90858,0.89631,0.85946,0.93604,0.91919,0.89761,0.8605,0.93555,0.92448,0.19216,0.44838,0.42073,0.83739,0.00703,0.00703,0.00703
32,3661.53,0.29674,0.39766,0.49927,0.91,0.91025,0.89055,0.94229,0.92517,0.90903,0.88932,0.9412,0.93093,0.19456,0.44182,0.38047,0.83677,0.006931,0.006931,0.006931
33,3780.52,0.29776,0.39689,0.50433,0.91011,0.88699,0.90065,0.94025,0.92864,0.88582,0.89942,0.93893,0.92771,0.18274,0.55171,0.38387,0.82544,0.006832,0.006832,0.006832
34,3900,0.29491,0.39396,0.48984,0.90935,0.91624,0.89017,0.94838,0.93831,0.91742,0.89121,0.94894,0.93797,0.18022,0.4116,0.3506,0.82824,0.006733,0.006733,0.006733
35,4017.59,0.29482,0.40242,0.48802,0.90897,0.89128,0.92776,0.95227,0.94192,0.88892,0.92529,0.94985,0.94138,0.17119,0.46085,0.34015,0.82241,0.006634,0.006634,0.006634
36,4135.32,0.28908,0.3986,0.48253,0.90498,0.89344,0.87845,0.94094,0.93164,0.89214,0.87721,0.9396,0.92683,0.16717,0.4122,0.38034,0.81669,0.006535,0.006535,0.006535
37,4254.66,0.28837,0.40147,0.48358,0.90786,0.9162,0.883,0.95038,0.94028,0.91487,0.88194,0.94918,0.93818,0.17673,0.36204,0.35243,0.82229,0.006436,0.006436,0.006436
38,4373.2,0.28636,0.38247,0.46789,0.90336,0.9175,0.90169,0.94673,0.93456,0.91621,0.90045,0.94497,0.93295,0.17277,0.41627,0.35287,0.82311,0.006337,0.006337,0.006337
39,4492.07,0.28301,0.37756,0.45665,0.90122,0.91192,0.8958,0.95056,0.93917,0.91062,0.89456,0.94952,0.94169,0.1699,0.50841,0.34903,0.81543,0.006238,0.006238,0.006238
40,4610.26,0.285,0.38646,0.46277,0.90326,0.91789,0.90258,0.94694,0.93656,0.91658,0.90134,0.9456,0.93634,0.16963,0.41088,0.34416,0.81757,0.006139,0.006139,0.006139
41,4728.36,0.28253,0.37181,0.45006,0.90513,0.87028,0.93708,0.95197,0.94054,0.86914,0.93584,0.9502,0.94073,0.16961,0.40453,0.3319,0.81939,0.00604,0.00604,0.00604
42,4845.81,0.28252,0.3827,0.44744,0.90011,0.92651,0.89546,0.95291,0.94393,0.92651,0.89546,0.95207,0.94386,0.17231,0.5182,0.33457,0.81895,0.005941,0.005941,0.005941
43,4964.7,0.28066,0.37287,0.43684,0.90174,0.91018,0.90746,0.94885,0.93845,0.91018,0.90746,0.94812,0.9393,0.16734,0.38672,0.34225,0.82311,0.005842,0.005842,0.005842
44,5083.39,0.27804,0.3848,0.43232,0.90148,0.91937,0.90069,0.95085,0.94203,0.9181,0.89946,0.94978,0.94078,0.15821,0.49925,0.34427,0.8144,0.005743,0.005743,0.005743
45,5202.15,0.27447,0.37055,0.42271,0.89825,0.92269,0.88966,0.94775,0.94133,0.92136,0.88842,0.94637,0.93954,0.16376,0.45319,0.34169,0.81469,0.005644,0.005644,0.005644
46,5321.38,0.27341,0.36249,0.42077,0.89787,0.92211,0.92475,0.95408,0.9447,0.92211,0.92475,0.95475,0.94369,0.16892,0.44877,0.31404,0.81543,0.005545,0.005545,0.005545
47,5440.28,0.27358,0.37249,0.41336,0.89928,0.92464,0.92136,0.95483,0.94576,0.92806,0.91733,0.95367,0.94707,0.16306,0.49761,0.32877,0.81313,0.005446,0.005446,0.005446
48,5558.73,0.27064,0.3627,0.39958,0.89837,0.90245,0.90575,0.94635,0.93985,0.90117,0.90451,0.94509,0.9369,0.15724,0.47544,0.34624,0.81053,0.005347,0.005347,0.005347
49,5676.77,0.27164,0.36582,0.40383,0.89913,0.90663,0.92965,0.95722,0.94936,0.9054,0.92859,0.95511,0.94847,0.16307,0.43403,0.31239,0.81935,0.005248,0.005248,0.005248
50,5795.11,0.27219,0.36507,0.39447,0.89972,0.94248,0.91795,0.96183,0.95199,0.94108,0.9168,0.96058,0.95353,0.16006,0.39473,0.28463,0.81361,0.005149,0.005149,0.005149
51,5913.79,0.26772,0.36424,0.38982,0.89264,0.9279,0.91802,0.95629,0.94818,0.92666,0.91678,0.95515,0.94721,0.15401,0.57187,0.29932,0.8086,0.00505,0.00505,0.00505
52,6031.89,0.26634,0.36754,0.3936,0.89698,0.91761,0.92569,0.95702,0.94838,0.91634,0.92445,0.95526,0.9463,0.15348,0.51797,0.29962,0.80644,0.004951,0.004951,0.004951
53,6151.07,0.26644,0.36149,0.38468,0.8971,0.93698,0.93097,0.95609,0.94743,0.93698,0.93097,0.95609,0.94611,0.15514,0.57407,0.30201,0.80855,0.004852,0.004852,0.004852
54,6269.7,0.263,0.35548,0.383,0.89614,0.92903,0.92407,0.95869,0.95132,0.9278,0.92283,0.9582,0.95054,0.15142,0.40806,0.30162,0.80751,0.004753,0.004753,0.004753
55,6387.91,0.25898,0.34574,0.37112,0.89363,0.91946,0.92424,0.95754,0.94946,0.91821,0.92301,0.95626,0.9497,0.15543,0.49643,0.30626,0.81138,0.004654,0.004654,0.004654
56,6506.8,0.2633,0.3527,0.38522,0.89533,0.93059,0.92938,0.96105,0.95321,0.92928,0.92825,0.96015,0.9523,0.1497,0.55751,0.28596,0.80675,0.004555,0.004555,0.004555
