epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.616,0.37493,0.69419,2.35415,0.96051,0.49834,0.69825,0.63384,0.57498,0.49834,0.69825,0.63317,0.60194,0.3311,0.59184,1.6007,0.97836,0.00332921,0.00332921,0.00332921
2,210.902,0.4021,0.56146,1.48736,0.95711,0.56863,0.78245,0.74163,0.67812,0.5668,0.78013,0.73928,0.70294,0.36735,0.6658,1.24029,0.98523,0.00659658,0.00659658,0.00659658
3,337.237,0.4804,0.62322,1.38466,0.98584,0.60256,0.611,0.62996,0.5661,0.60216,0.61146,0.62421,0.58158,0.3908,0.68804,1.30494,1.02562,0.00979796,0.00979796,0.00979796
4,466.703,0.51842,0.67769,1.28271,1.0092,0.6021,0.7496,0.75424,0.6901,0.60074,0.74639,0.74756,0.71957,0.37326,0.52229,1.06859,0.99334,0.009703,0.009703,0.009703
5,576.506,0.48215,0.63243,1.12533,0.98918,0.6941,0.70714,0.7619,0.70746,0.68814,0.70807,0.75738,0.73082,0.32519,0.58152,0.93417,0.95147,0.009604,0.009604,0.009604
6,694.025,0.45076,0.57147,1.02029,0.9772,0.76476,0.76566,0.82754,0.78268,0.76271,0.76319,0.82569,0.7995,0.29392,0.58644,0.77971,0.92994,0.009505,0.009505,0.009505
7,826.476,0.42527,0.54477,0.93699,0.95953,0.73852,0.73025,0.82427,0.77291,0.75278,0.72098,0.82195,0.79453,0.30215,0.41696,0.78991,0.92358,0.009406,0.009406,0.009406
8,951.751,0.408,0.52579,0.89416,0.95901,0.68203,0.75052,0.80993,0.7787,0.68063,0.74805,0.80589,0.79234,0.26555,0.45047,0.83105,0.89423,0.009307,0.009307,0.009307
9,1054.31,0.40119,0.53417,0.85503,0.95291,0.77021,0.76359,0.84211,0.80607,0.76884,0.76169,0.8412,0.82277,0.26967,0.54009,0.71213,0.90327,0.009208,0.009208,0.009208
10,1171.73,0.39032,0.51739,0.83181,0.95218,0.73877,0.82163,0.87623,0.84108,0.7352,0.8167,0.87212,0.85178,0.2585,0.35726,0.65082,0.8965,0.009109,0.009109,0.009109
11,1273.64,0.3805,0.49315,0.79906,0.94439,0.79642,0.81137,0.86801,0.8304,0.7942,0.81021,0.865,0.84591,0.26644,0.38318,0.63519,0.90174,0.00901,0.00901,0.00901
12,1376.26,0.37298,0.49567,0.76153,0.94479,0.8554,0.82098,0.8921,0.86571,0.85263,0.81583,0.88944,0.87314,0.24435,0.38038,0.54913,0.88183,0.008911,0.008911,0.008911
13,1490.54,0.36037,0.46837,0.73278,0.93704,0.86563,0.80551,0.89757,0.86331,0.86166,0.80266,0.8929,0.87509,0.2441,0.35174,0.55281,0.89049,0.008812,0.008812,0.008812
14,1624.7,0.35791,0.47074,0.71422,0.93382,0.87385,0.81958,0.91345,0.88118,0.87264,0.81835,0.91208,0.89682,0.24347,0.2937,0.55388,0.8816,0.008713,0.008713,0.008713
15,1758.2,0.34558,0.45425,0.69454,0.92711,0.823,0.82467,0.88799,0.85943,0.82105,0.8222,0.88315,0.86926,0.243,0.47709,0.57944,0.87567,0.008614,0.008614,0.008614
16,1889.93,0.34449,0.45845,0.6856,0.92993,0.86829,0.78483,0.90383,0.88389,0.86682,0.7836,0.90267,0.88733,0.21872,0.44884,0.56721,0.85322,0.008515,0.008515,0.008515
17,2014.73,0.33605,0.44456,0.6645,0.92367,0.84512,0.83961,0.90802,0.89074,0.84147,0.84041,0.90733,0.89288,0.23117,0.47728,0.5213,0.86426,0.008416,0.008416,0.008416
18,2153.57,0.33588,0.44316,0.64706,0.92405,0.86112,0.86368,0.91495,0.89673,0.85644,0.85921,0.91048,0.89976,0.22021,0.45162,0.4791,0.85761,0.008317,0.008317,0.008317
19,2256.25,0.33433,0.43455,0.62552,0.92541,0.87245,0.84907,0.92255,0.90562,0.87112,0.84783,0.92095,0.90934,0.20982,0.43717,0.46899,0.85388,0.008218,0.008218,0.008218
20,2358.4,0.32891,0.43058,0.62968,0.92192,0.86342,0.81478,0.90338,0.88524,0.86342,0.81478,0.90207,0.88653,0.21167,0.48109,0.53139,0.85348,0.008119,0.008119,0.008119
21,2460.4,0.32232,0.43776,0.60892,0.91749,0.88577,0.89659,0.93663,0.91325,0.88467,0.89535,0.9358,0.92322,0.21372,0.51618,0.43659,0.84749,0.00802,0.00802,0.00802
22,2562.37,0.32111,0.4209,0.59997,0.91842,0.85214,0.89508,0.93223,0.91471,0.85113,0.89385,0.93075,0.9189,0.20507,0.51704,0.43653,0.8454,0.007921,0.007921,0.007921
